2014-12-14T08:06:05.997Z - error: uncaughtException: Unexpected identifier date=Sun Dec 14 2014 00:06:05 GMT-0800 (PST), pid=3769, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[/usr/bin/nodejs, /home/cdunavan/Dropbox/dcit/cluster-dcit.js], rss=62046208, heapTotal=54108160, heapUsed=29965656, loadavg=[0.11865234375, 0.1953125, 0.1630859375], uptime=42461.287036261, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T08:06:06.049Z - error: uncaughtException: Unexpected identifier date=Sun Dec 14 2014 00:06:06 GMT-0800 (PST), pid=3771, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[/usr/bin/nodejs, /home/cdunavan/Dropbox/dcit/cluster-dcit.js], rss=62078976, heapTotal=54108160, heapUsed=29993336, loadavg=[0.11865234375, 0.1953125, 0.1630859375], uptime=42461.362129883, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T08:07:14.259Z - error: uncaughtException: Unexpected identifier date=Sun Dec 14 2014 00:07:14 GMT-0800 (PST), pid=3805, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[/usr/bin/nodejs, /home/cdunavan/Dropbox/dcit/cluster-dcit.js], rss=64143360, heapTotal=54108160, heapUsed=29985112, loadavg=[0.7041015625, 0.3134765625, 0.203125], uptime=42529.522246594, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T08:07:14.730Z - error: uncaughtException: Unexpected identifier date=Sun Dec 14 2014 00:07:14 GMT-0800 (PST), pid=3803, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[/usr/bin/nodejs, /home/cdunavan/Dropbox/dcit/cluster-dcit.js], rss=63836160, heapTotal=54108160, heapUsed=29973392, loadavg=[0.7041015625, 0.3134765625, 0.203125], uptime=42530.047557213, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T08:07:26.421Z - error: uncaughtException: Unexpected token : date=Sun Dec 14 2014 00:07:26 GMT-0800 (PST), pid=3839, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[/usr/bin/nodejs, /home/cdunavan/Dropbox/dcit/cluster-dcit.js], rss=61747200, heapTotal=54108160, heapUsed=29908320, loadavg=[0.59619140625, 0.30322265625, 0.201171875], uptime=42541.655580857, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token :,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T08:07:26.988Z - error: uncaughtException: Unexpected token : date=Sun Dec 14 2014 00:07:26 GMT-0800 (PST), pid=3837, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[/usr/bin/nodejs, /home/cdunavan/Dropbox/dcit/cluster-dcit.js], rss=64143360, heapTotal=54108160, heapUsed=29912768, loadavg=[0.59619140625, 0.30322265625, 0.201171875], uptime=42542.304352139, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token :,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T20:31:22.272Z - error: uncaughtException: Unexpected token } date=Sun Dec 14 2014 12:31:22 GMT-0800 (PST), pid=4099, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[node, /home/cdunavan/Dropbox/dcit/dcit.js], rss=61882368, heapTotal=54108160, heapUsed=29252888, loadavg=[0.2734375, 0.1484375, 0.1396484375], uptime=55038.164237931, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token },     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T20:38:19.670Z - error: uncaughtException: Unexpected token } date=Sun Dec 14 2014 12:38:19 GMT-0800 (PST), pid=4119, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[node, /home/cdunavan/Dropbox/dcit/dcit.js], rss=61681664, heapTotal=54108160, heapUsed=29358144, loadavg=[0.5751953125, 0.24072265625, 0.1689453125], uptime=55455.563101426, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token },     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T20:55:27.280Z - error: uncaughtException: Unexpected token ) date=Sun Dec 14 2014 12:55:27 GMT-0800 (PST), pid=4342, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[node, /home/cdunavan/Dropbox/dcit/dcit.js], rss=61816832, heapTotal=54108160, heapUsed=29192120, loadavg=[0.23095703125, 0.22412109375, 0.22021484375], uptime=56483.154860875, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token ),     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T22:16:24.311Z - error: uncaughtException: Unexpected identifier date=Sun Dec 14 2014 14:16:24 GMT-0800 (PST), pid=4745, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[node, /home/cdunavan/Dropbox/dcit/dcit.js], rss=64241664, heapTotal=54108160, heapUsed=29573560, loadavg=[0.2197265625, 0.154296875, 0.11328125], uptime=61340.202377253, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2014-12-14T22:49:08.973Z - error: uncaughtException: Unexpected string date=Sun Dec 14 2014 14:49:08 GMT-0800 (PST), pid=4857, uid=1000, gid=1000, cwd=/home/cdunavan/Dropbox/dcit, execPath=/usr/bin/nodejs, version=v0.10.33, argv=[node, /home/cdunavan/Dropbox/dcit/dcit.js], rss=61771776, heapTotal=54108160, heapUsed=29178384, loadavg=[0.09814453125, 0.14208984375, 0.134765625], uptime=63304.8668883, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=18, file=/home/cdunavan/Dropbox/dcit/routes.js, function=, line=7, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected string,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/cdunavan/Dropbox/dcit/routes.js:7:18),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
