index,overwrite,modifiedOn,equipLocationRack,equipLocationRu,equipSN,equipAssetTag,  equipTicketNumber,equipInventoryStatus,equipStatus,equipIsVirtual,equipType,equipMake,equipModel,equipSubModel,equipRUHieght,equipParent,equipImgFront,equipImgRear,equipImgInternal,equipFirmware,equipIPMIv,equipMobo,equipCPUCount,equipCPUCores,equipCPUType,equipMemType,equipMemTotal,equipRaidType,equipRaidLayout,equipHDDCount,equipHDDType,equipNICCount,equipNICType,equipPSUCount,equipPSUDraw,equipAddOns,equipRecieved,equipAcquisition,equipInService,equipEndOfLife,equipWarrantyMo,equipPONum,equipInvoice,equipProjectNum,equipLicense,equipMaintAgree,equipPurchaseType,equipPurchaser,equipPurchaseTerms,equipPurchaseEnd,equipNotes
1,yes,,,,,,,TRUE,Not yet ordered,,Full Rack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,no,,,,,,,FALSE,Ordered,,Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,In transit,,VM Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Received,,Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Spare,,Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,In Service,,Console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,In Service with issues,,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Spare with issues,,Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Out for RMA,,Patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Damaged,,CblMgmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Decommissioned,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,End of Life - Recycled,,KVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,End of Life - RMA,,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
