index,overwrite,equipSN,equipMake
1,yes,1412NML04J,Oracle Sun
2,yes,1412NML058,Oracle Sun
3,yes,1412NML05A,Oracle Sun
4,yes,1412NML05U,Oracle Sun
5,yes,1412NML066,Oracle Sun
6,yes,1413NM5023,Oracle Sun
7,yes,1413NML001,Oracle Sun
8,yes,1413NML004,Oracle Sun
9,yes,1413NML005,Oracle Sun
10,yes,1413NML006,Oracle Sun
11,yes,1413NML007,Oracle Sun
12,yes,1413NML00C,Oracle Sun
13,yes,1413NML00F,Oracle Sun
14,yes,1413NML00L,Oracle Sun
15,yes,1413NML00M,Oracle Sun
16,yes,1413NML00N,Oracle Sun
17,yes,1413NML00T,Oracle Sun
18,yes,1413NML00U,Oracle Sun
19,yes,1413NML00V,Oracle Sun
20,yes,1413NML00X,Oracle Sun
21,yes,1413NML00Y,Oracle Sun
22,yes,1413NML010,Oracle Sun
23,yes,1413NML012,Oracle Sun
24,yes,1413NML013,Oracle Sun
25,yes,1413NML014,Oracle Sun
26,yes,1413NML016,Oracle Sun
27,yes,1413NML017,Oracle Sun
28,yes,1413NML018,Oracle Sun
29,yes,1413NML019,Oracle Sun
30,yes,1413NML01A,Oracle Sun
31,yes,1413NML01B,Oracle Sun
32,yes,1414NM500A,Oracle Sun
33,yes,1414NM5037,Oracle Sun
34,yes,1414NM503E,Oracle Sun
35,yes,1414NM504A,Oracle Sun
36,yes,1414NM504B,Oracle Sun
37,yes,1414NM504C,Oracle Sun
38,yes,1414NM504D,Oracle Sun
39,yes,1414NM504E,Oracle Sun
40,yes,1414NM504F,Oracle Sun
41,yes,1414NM504J,Oracle Sun
42,yes,1414NM504K,Oracle Sun
43,yes,1414NM504L,Oracle Sun
44,yes,1414NM504M,Oracle Sun
45,yes,1414NM504N,Oracle Sun
46,yes,1414NM504P,Oracle Sun
47,yes,1414NM504W,Oracle Sun
48,yes,1414NM504Y,Oracle Sun
49,yes,1414NM5051,Oracle Sun
50,yes,1414NM5052,Oracle Sun
51,yes,1414NM5053,Oracle Sun
52,yes,1414NM5058,Oracle Sun
53,yes,1414NM505B,Oracle Sun
54,yes,1414NM505C,Oracle Sun
55,yes,1414NM505F,Oracle Sun
56,yes,1414NM507D,Oracle Sun
57,yes,1414NM507J,Oracle Sun
58,yes,1414NM507L,Oracle Sun
