rows,System: System Name,Environment,Role,Fixed Asset: Fixed Asset  Name,Install Date,Service Start Date,Service End Date,Notes,OS Type,OS Version,Parent System,
1,att-1A-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
2,att-1B-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
3,att-1B-06-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
4,att-3B-05-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
5,att-3A-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
6,att-3B-05-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
7,att-3B-07-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
8,att-3A-05-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
9,att-3A-07-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
10,att-3A-05-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
11,att-1A-06-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
12,att-3B-03-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
13,att-3A-07-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
14,att-1B-03-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
15,att-1A-03-02,,,400HolgerWay,,,,,,,AT&TDataCenter,
16,att-3B-07-01,,,400HolgerWay,,,,,,,AT&TDataCenter,
17,rw-150-M2,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
18,rw-152-M2,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
19,rw-157-K1,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
20,rw-150-K1,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
21,rw-150-M1,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
22,rw-152-K2,,,1200StrikerAve,,,,,,,RagingWireDataCenter,
23,pdu-dc01-352-1,,,emc-pdu-000032,,,,,,,,
24,pdu-dc01-352-2,,,emc-pdu-000033,,,,,,,,
25,pdu-dc02-d09-1,,,5A1107E01198,7/20/2011,,,,,,,
26,pdu-dc02-d09-2,,,5A1107E01214,7/20/2011,,,,,,,
27,d08-kvm,,KVM,9945EY0CB791700134,,,,,,,,
28,pdu-dc02-d08-1,,,5A1107E01211,7/20/2011,,,,,,,
29,pdu-dc02-d08-2,,,5A1107E01223,7/20/2011,,,,,,,
30,pdu-dc02-d07-1,,,5A1107E01222,7/20/2011,,,,,,,
31,pdu-dc02-d07-2,,,5A1107E01199,7/20/2011,,,,,,,
32,mon-test,,Nagios,A1-14805,,,,,,,,
33,pdu-dc02-d06-1,,,5A1107E01218,7/20/2011,,,,,,,
34,pdu-dc02-d06-2,,,5A1107E01200,7/20/2011,,,,,,,
35,pdu-dc02-a04-6,,,ZA0839013828,,,,,,,,
36,UK firewall,,,88808290590,,,,,,,,
37,pdu-dc02-a03-1,,,ZA0838001376,,,,,,,,
38,pdu-dc02-a03-2,,,ZA0838001449,,,,,,,,
39,pdu-dc02-a02-1,,,ZA0838001430,,,,,,,,
40,pdu-dc02-a02-2,,,ZA0838001413,,,,,,,,
41,pdu-dc02-a06-4,,,ZA0806009961,,,,,,,,
42,pdu-dc02-d11-1,,,5A1107E01220,7/20/2011,,,,,,,
43,pdu-dc02-d11-2,,,5A1107E01209,7/20/2011,,,,,,,
44,pdu-dc02-d10-1,,,5A1107E01183,7/20/2011,,,,,,,
45,pdu-dc02-d10-2,,,5A1107E01213,7/20/2011,,,,,,,
46,pdu-dc02-a06-1,,,5A0828E00159,,,,,,,,
47,pdu-dc02-a06-2,,,5A0828E00081,,,,,,,,
48,pdu-dc02-a05-3,,,ZA0915008225,,,,,,,,
49,pdu-dc02-a05-4,,,ZA0915008262,,,,,,,,
50,a05-kvm,,SPF1,9728BYOCB707500016,,,,,,,,
51,pdu-dc02-a05-1,,,5A0828E00065,,,,,,,,
52,pdu-dc02-a05-2,,,5A0828E00113,,,,,,,,
53,pdu-dc02-a04-1,,,ZA0907000565,,,,,,,,
54,pdu-dc02-a04-2,,,ZA0907000575,,,,,,,,
55,pdu-dc02-a04-3,,,5A0828E00092,,,,,,,,
56,pdu-dc02-a04-4,,,5A0828E00067,,,,,,,,
57,pdu-dc02-a01-1,,,5A0828E00093,,,,,,,,
58,pdu-dc02-a01-2,,,5A0828E00098,,,,,,,,
59,pdu-dc02-a04-5,,,ZA0839013624,,,,,,,,
60,pdu-dc02-c11-1,,,ZA1135004752,12/7/2011,,,,,,,
61,pdu-dc02-c11-2,,,ZA1135004765,12/7/2011,,,,,,,
62,pdu-dc02-c10-1,,,ZA1135004582,12/7/2011,,,,,,,
63,pdu-dc02-c10-2,,,ZA1135004788,12/7/2011,,,,,,,
64,c09-kvm,,,9945EY0CB791700101,,,,,,,,
65,b03-kvm,,kvm,2121GY0CB791700020,10/28/2011,,,,,,,
66,pdu-dc02-b03-1,,,5A1109E03554,10/27/2011,,,,,,,
67,pdu-dc02-b03-2,,,5A1109E03557,10/27/2011,,,,,,,
68,a07-kvm,,,9728BYOCB707500014,,,,,,,,
69,pdu-dc02-a07-1,,,ZA0907000542,,,,,,,,
70,pdu-dc02-a07-2,,,ZA0907000560,,,,,,,,
71,pdu-dc02-a06-3,,,ZA0806008499,,,,,,,,
72,pdu-dc02-a11-1,,,5A1146E04311,,,,,,,,
73,pdu-dc02-a11-2,,,5A1146E04771,,,,,,,,
74,pdu-dc02-a10-2,,,5A1107e01215,4/19/2011,,,,,,,
75,pdu-dc02-a10-1,,,5A1107E01191,4/19/2011,,,,,,,
76,pdu-dc02-b09-1,,,ZA0838001433,4/19/2011,,,,,,,
77,pdu-dc02-b09-2,,,ZA0838001388,4/19/2011,,,,,,,
78,pdu-dc02-a09-1,,,ZA0824003541,,,,,,,,
79,pdu-dc02-a09-2,,,ZA0824003560,,,,,,,,
80,pdu-dc02-a09-3,,,ZA0806008537,,,,,,,,
81,pdu-dc02-a09-4,,,ZA0806008512,,,,,,,,
82,d03-kvm,,,9833BY0CB733800024,,,,,,,,
83,pdu-dc02-a08-3,,,ZA0839013818,,,,,,,,
84,pdu-dc02-a08-4,,,ZA0839013799,,,,,,,,
85,pdu-dc02-a08-5,,,ZA0839013718,,,,,,,,
86,pdu-dc02-a08-1,,,ZA0822012074,,,,,,,,
87,pdu-dc02-a08-2,,,5A0828E00108,,,,,,,,
88,pdu-dc01-331-1/b,,,resp1000113,,,,,,,,
89,pdu-dc01-331-1/a,,,resp1000060,,,,,,,,
90,pdu-dc01-331-2/b,,,resp1000112,,,,,,,,
91,pdu-dc01-331-2/a,,,resp1000059,,,,,,,,
92,pdu-dc01-330-1,,,resp1000104,,,,,,,,
93,pdu-dc01-330-2,,,resp1000051,,,,,,,,
94,pdu-dc01-330-3,,,resp1000102,,,,,,,,
95,pdu-dc01-330-4,,,resp1000049,,,,,,,,
96,pdu-dc01-328-4,,,resp1000040,,,,,,,,
97,pdu-dc01-329-1,,,resp1000101,,,,,,,,
98,pdu-dc01-329-2,,,resp1000048,,,,,,,,
99,pdu-dc01-329-3,,Not Switched,resp1000109,,,,,,,,
100,pdu-dc01-329-4,,,resp1000056,,,,,,,,
101,pdu-dc01-328-1,,,resp1000095,,,,,,,,
102,pdu-dc01-328-2,,,resp1000042,,,,,,,,
103,pdu-dc01-328-3,,,resp1000093,,,,,,,,
104,pdu-dc01-325-1/a,,,resp1000096,,,,,,,,
105,pdu-dc01-327-1/b,,,resp1000091,,,,,,,,
106,pdu-dc01-327-1/a,,,resp1000038,,,,,,,,
107,pdu-dc01-327-3,,,resp1000098,,,,,,,,
108,pdu-dc01-327-4,,,resp1000045,,,,,,,,
109,pdu-dc01-325-2,,,resp1000043,,,,,,,,
110,pdu-dc01-325-3,,,resp1000097,,,,,,,,
111,pdu-dc01-325-4,,,resp1000044,,,,,,,,
112,pdu-dc01-324-1,,,resp1000094,,,,,,,,
113,pdu-dc01-324-2,,,resp1000041,,,,,,,,
114,pdu-dc01-324-3,,,resp1000075,,,,,,,,
115,pdu-dc01-324-4,,,resp1000023,,,,,,,,
116,pdu-dc01-323-1,,,resp1000100,,,,,,,,
